"ID";"参照記号";"パッケージ";"数";"名称";"Supplier and ref";
1;"REF**";"Lazurite_logo";1;"Lazurite_logo";;;
2;"H4,H3,H2,H1";"MountingHole_2.2mm_M2";4;"MountingHole";;;
3;"J3";"JST_NSH_SM06B_1mm_Horizonal";1;"Conn_01x06_Female";;;
4;"U3";"920J";1;"Lazurite_920J";;;
5;"J4";"PSS-720102-05";1;"PSS-720102-05";;;
6;"U1";"LDO_TO252-5";1;"BD50C0AWFP";;;
7;"J2";"GB-50LBS-2P";1;"GB-TB-50LBS-2P";;;
8;"U2";"ROHM_MOSFET_SOT-23";1;"RK7002BMT-116";;;
9;"J1";"USB_B_hirose_ZX62R-B-5P";1;"uUSBconecter_ZX62R-B-5P";;;
10;"D1";"Diode_SOT-25T";1;"Diodex2_RRE04EA4D";;;
11;"R1,R2";"R_0402_1005Metric";2;"100k";;;
12;"C2,C1";"C_1210_3225Metric";2;"10uF/50V";;;
